id,title,category,views,content,published_at
1,AI 기술 동향,IT,1200,AI 기술이 빠르게 발전하고 있다.,2025-11-01
2,데이터 분석 입문,IT,850,데이터 분석은 의사결정에 활용된다.,2025-11-02
3,미디어와 AI,Media,640,미디어 산업에서 AI 활용이 증가하고 있다.,2025-11-02
4,스포츠 하이라이트,Sports,1500,경기 요약과 주요 장면을 정리한다.,2025-11-03
5,경제 전망,Economy,980,금리와 물가의 상호작용을 점검한다.,2025-11-03
6,AI 윤리 쟁점,IT,,저작권과 책임 소재가 중요하다.,2025-11-04
7,지역 문화 행사,Culture,410,지역 축제와 공연 정보를 제공한다.,2025-11-04
8,오늘의 날씨,Life,730,기온과 강수 확률을 안내한다.,2025-11-05
9,데이터 시각화 팁,IT,1020,그래프 선택 기준을 정리한다.,2025-11-05
10,연예 뉴스,Entertainment,2100,신작 공개와 인터뷰를 다룬다.,2025-11-06
11,AI 기술 동향,IT,1200,동일 제목 중복 사례를 포함한다.,2025-11-06
12,국제 이슈 브리핑,World,870,주요 국제 현안을 요약한다.,2025-11-07
